modelo,prompt,metrica,count,mean,std,median,iqr,q25,q75,min,max
ministral,Zero_Shot,sentences_per_paragraph,10,1.49507,0.39203,1.37356,0.6105,1.22076,1.83125,1.01613,2.09804
ministral,Zero_Shot,syllables_per_content_word,10,2.47905,0.14231,2.51619,0.18007,2.37607,2.55614,2.2623,2.69325
ministral,Zero_Shot,cw_freq_brwac,10,3.57481,0.37325,3.68916,0.42046,3.41332,3.83378,2.72712,3.97903
ministral,Zero_Shot,noun_ratio,10,0.46424,0.05591,0.45373,0.06853,0.4255,0.49403,0.39917,0.58579
ministral,Zero_Shot,ttr,10,0.63649,0.04418,0.64023,0.04099,0.61647,0.65745,0.55357,0.71386
ministral,Zero_Shot,gunning_fox,10,17.15629,2.32319,17.22403,1.6783,16.70036,18.37865,12.31729,21.1724
ministral,Zero_Shot,brunet,10,14.01041,3.13842,12.95962,1.26118,12.72827,13.98945,11.33092,22.57022
ministral,Zero_Shot,honore,10,822.39853,142.06494,830.50363,181.47892,715.87559,897.35451,632.67669,1055.74369
corpus_split,Original,flesch,10,21.1132,17.92373,18.45667,9.53413,13.11244,22.64657,-3.24784,62.96114
corpus_split,Original,words_per_sentence,10,25.68235,12.15844,23.68182,12.13435,18.1125,30.24685,9.1,45.21429
corpus_split,Original,sentences_per_paragraph,10,40.7,21.59244,42.5,34.25,20.75,55.0,14.0,78.0
corpus_split,Original,syllables_per_content_word,10,3.05444,0.20591,3.09938,0.23081,2.97498,3.20579,2.55556,3.25
corpus_split,Original,cw_freq_brwac,10,3.64969,0.34811,3.53848,0.42434,3.50967,3.934,3.19702,4.22895
corpus_split,Original,noun_ratio,10,0.4553,0.05566,0.45086,0.04073,0.44026,0.48099,0.36962,0.54677
corpus_split,Original,ttr,10,0.72232,0.03212,0.72917,0.02541,0.71706,0.74247,0.65048,0.75531
corpus_split,Original,gunning_fox,10,26.61903,5.72793,26.29292,5.32544,24.31065,29.6361,15.28835,35.04539
corpus_split,Original,brunet,10,12.39965,0.8461,12.55947,1.01529,11.86027,12.87556,10.78986,13.78784
corpus_split,Original,honore,10,927.89219,88.3064,950.27304,75.75292,893.36304,969.11596,732.05364,1066.05227
sabia_web,Zero_Shot,flesch,10,33.88017,9.20825,33.65161,8.93988,30.17023,39.11011,15.08371,48.57347
sabia_web,Zero_Shot,words_per_sentence,10,13.84119,1.22737,13.87474,2.04702,12.80298,14.85,11.93023,15.35897
sabia_web,Zero_Shot,sentences_per_paragraph,10,2.99042,1.19123,3.13889,1.40779,2.17857,3.58636,1.24242,5.0
sabia_web,Zero_Shot,syllables_per_content_word,10,3.02952,0.15982,2.99622,0.13925,2.94615,3.0854,2.78834,3.36607
sabia_web,Zero_Shot,cw_freq_brwac,10,4.38403,0.33911,4.36385,0.55165,4.08955,4.6412,3.98893,4.86716
sabia_web,Zero_Shot,noun_ratio,10,0.362,0.05739,0.3702,0.08893,0.30789,0.39682,0.29288,0.46394
sabia_web,Zero_Shot,ttr,10,0.74107,0.03611,0.74149,0.04368,0.71819,0.76187,0.67587,0.79764
sabia_web,Zero_Shot,gunning_fox,10,21.93002,1.57546,22.0025,2.24564,20.92027,23.16591,19.60177,24.34324
sabia_web,Zero_Shot,brunet,10,11.87574,0.89898,11.89632,0.96397,11.38218,12.34615,10.19905,13.46717
sabia_web,Zero_Shot,honore,10,902.37887,110.5102,929.10258,126.9819,855.55888,982.54078,665.06646,1017.13017
gemini,"Identity,_Intent_and_Behaviour",flesch,10,51.26341,6.02988,50.44589,6.61881,47.26695,53.88576,42.83732,63.77901
gemini,"Identity,_Intent_and_Behaviour",words_per_sentence,10,12.8895,2.22029,12.53519,2.15117,11.73264,13.88381,9.49057,17.82927
gemini,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,10,1.35478,0.13982,1.39685,0.11779,1.29359,1.41138,1.06,1.58621
gemini,"Identity,_Intent_and_Behaviour",syllables_per_content_word,10,2.67945,0.11979,2.67525,0.11688,2.61094,2.72782,2.49091,2.88809
gemini,"Identity,_Intent_and_Behaviour",cw_freq_brwac,10,3.66624,0.43642,3.68406,0.5599,3.44323,4.00313,2.77352,4.19515
gemini,"Identity,_Intent_and_Behaviour",noun_ratio,10,0.46447,0.07616,0.45508,0.07006,0.41088,0.48095,0.39165,0.65253
gemini,"Identity,_Intent_and_Behaviour",ttr,10,0.70183,0.03143,0.69682,0.01977,0.69043,0.7102,0.65444,0.75887
gemini,"Identity,_Intent_and_Behaviour",gunning_fox,10,19.92352,1.52486,19.87008,1.28014,19.53233,20.81247,16.28132,21.68711
gemini,"Identity,_Intent_and_Behaviour",brunet,10,12.3886,0.59478,12.32644,0.9998,11.86092,12.86072,11.63901,13.19995
gemini,"Identity,_Intent_and_Behaviour",honore,10,895.2402,166.03735,903.20037,256.14344,788.40426,1044.54771,636.7004,1117.49908
gemini,Tree_of_Thought,flesch,10,48.5501,5.12851,48.76911,9.04998,44.4624,53.51239,41.51809,54.70438
gemini,Tree_of_Thought,words_per_sentence,10,16.61862,2.69696,16.1024,1.5595,15.55764,17.11714,12.2381,22.07143
gemini,Tree_of_Thought,sentences_per_paragraph,10,1.35488,0.14048,1.33125,0.18974,1.28526,1.475,1.11765,1.54545
gemini,Tree_of_Thought,syllables_per_content_word,10,2.65942,0.07359,2.63476,0.06903,2.61598,2.68501,2.58491,2.83696
gemini,Tree_of_Thought,cw_freq_brwac,10,3.59817,0.2867,3.68135,0.45513,3.3457,3.80083,3.18193,4.0464
gemini,Tree_of_Thought,noun_ratio,10,0.46333,0.059,0.44278,0.07744,0.42528,0.50272,0.37864,0.56133
gemini,Tree_of_Thought,ttr,10,0.7001,0.03083,0.70861,0.03086,0.69,0.72086,0.63891,0.73767
gemini,Tree_of_Thought,gunning_fox,10,21.15389,1.31805,21.14663,1.53036,20.3607,21.89107,18.97859,23.4564
gemini,Tree_of_Thought,brunet,10,11.8973,0.49762,11.77547,0.8052,11.50159,12.30679,11.2973,12.63188
gemini,Tree_of_Thought,honore,10,957.9274,129.75003,935.18947,119.65773,906.86095,1026.51867,758.47497,1194.48962
gemini,Zero_Shot,flesch,10,43.36421,7.14802,41.82653,9.53163,40.44593,49.97755,31.49876,53.32622
gemini,Zero_Shot,words_per_sentence,10,13.71848,1.54533,13.31375,1.0465,13.00489,14.05139,11.20588,16.92
gemini,Zero_Shot,sentences_per_paragraph,10,1.68131,0.5331,1.74604,0.6679,1.21165,1.87954,1.09756,2.875
gemini,Zero_Shot,syllables_per_content_word,10,2.90594,0.13346,2.94661,0.2222,2.77792,3.00012,2.73958,3.09906
gemini,Zero_Shot,cw_freq_brwac,10,4.36497,0.37003,4.34916,0.62988,4.07923,4.70911,3.78669,4.86863
gemini,Zero_Shot,noun_ratio,10,0.3717,0.04994,0.36128,0.08565,0.32697,0.41262,0.3121,0.45626
gemini,Zero_Shot,ttr,10,0.72645,0.04091,0.73155,0.05406,0.70089,0.75495,0.66079,0.7821
gemini,Zero_Shot,gunning_fox,10,21.36541,1.4584,21.48292,2.07758,20.39882,22.4764,18.76057,23.2219
gemini,Zero_Shot,brunet,10,11.7631,0.9259,11.46158,0.80904,11.26193,12.07097,10.36125,13.64683
gemini,Zero_Shot,honore,10,916.80922,124.43062,898.97625,83.30229,871.89406,955.19634,669.81458,1134.51002
